,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,9000,'cars3d','beta_vae',1.0,,,,,,0,-1440.5651855469,30.7413063049,1440.5651855469,1409.8227539062,30.7413063049,1.0,1.0,0.868,0.86,0.8957,0.6996666667,0.2037038108,0.1192721016,0.038302084800000004,0.023066666700000002,0.9126799935000001,0.9148436063000001,0.9129752331000001
1,9001,'cars3d','beta_vae',1.0,,,,,,1,-1440.1627197266,31.0695457458,1440.1627197266,1409.0942382812,31.0695457458,1.0,0.9998,0.8102,0.8006000000000001,0.8733666667000001,0.6786666667,0.1422978754,0.08780178870000001,0.0441800487,0.0050666667,0.7980507343000001,0.9227876477,0.9211380096
2,9002,'cars3d','beta_vae',1.0,,,,,,2,-1441.5093994141,30.8513641357,1441.5093994141,1410.6590576172,30.8513641357,1.0,1.0,0.9233,0.9262,0.9197666667000001,0.7025333333,0.150611562,0.0899797548,0.1054316102,0.021533333300000002,0.8607471647,0.9187131244000001,0.9173781842000001
3,9003,'cars3d','beta_vae',1.0,,,,,,3,-1444.0604248047,30.6505584717,1444.0604248047,1413.4114990234,30.6505584717,1.0,1.0,0.9201,0.912,0.915,0.7144666667,0.22057479870000002,0.1280298988,0.0818437932,0.0079333333,0.8657136749000001,0.9286285611,0.9271714575000001
4,9004,'cars3d','beta_vae',1.0,,,,,,4,-1440.2349853516,30.6625537872,1440.2349853516,1409.5723876953,30.6625537872,1.0,1.0,0.797,0.8012,0.8934666667000001,0.6824,0.152581082,0.094664311,0.0203854087,0.0092,0.8641942197,0.9269943314,0.9248965974000001
5,9005,'cars3d','beta_vae',1.0,,,,,,5,-1444.6373291016,30.6156463623,1444.6373291016,1414.0223388672,30.6156463623,1.0,1.0,0.781,0.7702,0.8968,0.6894,0.1564262901,0.10183858500000001,0.036758365200000004,0.0205333333,0.8397505766000001,0.9252955385,0.923902985
6,9006,'cars3d','beta_vae',1.0,,,,,,6,-1438.6499023438,30.3717937469,1438.6499023438,1408.2770996094,30.3717937469,0.9998,1.0,0.7824,0.7868,0.8662333333000001,0.6733333333,0.1450804581,0.1010561495,0.0138239734,0.0050666667,0.860730823,0.9140473474,0.9121370133000001
7,9007,'cars3d','beta_vae',1.0,,,,,,7,-1440.6516113281,30.9759140015,1440.6516113281,1409.6781005859,30.9759140015,0.9998,1.0,0.7709,0.7678,0.8925000000000001,0.6794,0.1672158359,0.10079811990000001,0.0281303457,0.022133333300000002,0.857302007,0.9248888850000001,0.9236968988
8,9008,'cars3d','beta_vae',1.0,,,,,,8,-1445.6301269531,30.6613464355,1445.6301269531,1414.9689941406,30.6613464355,0.9999,0.9998,0.9205000000000001,0.9152,0.8881666667,0.6940666667000001,0.23497780780000002,0.1321300614,0.1083646498,0.0167333333,0.828349839,0.9212394639,0.9197321636
9,9009,'cars3d','beta_vae',1.0,,,,,,9,-1439.8455810547,31.0558834076,1439.8455810547,1408.7899169922,31.0558834076,1.0,1.0,0.8131,0.8056000000000001,0.907,0.6872666667,0.1767674301,0.1038281612,0.0219428873,0.0141333333,0.8144497878,0.9251470269000001,0.9229824869000001
10,9010,'cars3d','beta_vae',1.0,,,,,,10,-1442.2252197266,30.9532241821,1442.2252197266,1411.2709960938,30.9532241821,1.0,1.0,0.7381000000000001,0.732,0.8773333333000001,0.6770666667,0.11324026300000001,0.07444225800000001,0.0179670724,0.011133333300000001,0.8848324892,0.9128486474,0.9099220959000001
11,9011,'cars3d','beta_vae',1.0,,,,,,11,-1443.5534667969,30.5045280457,1443.5534667969,1413.0490722656,30.5045280457,0.9999,1.0,0.7594000000000001,0.7494000000000001,0.9033,0.6916666667,0.1412274228,0.0893943094,0.0070574694,0.0032,0.8717023749,0.9144493866000001,0.9126445783
12,9012,'cars3d','beta_vae',1.0,,,,,,12,-1442.2454833984,31.0127449036,1442.2454833984,1411.2320556641,31.0127449036,1.0,1.0,0.7915000000000001,0.7856000000000001,0.6012666667000001,0.5286666667000001,0.18267585990000001,0.1053193353,0.0368484371,0.0126666667,0.8818058529,0.9214365706000001,0.9192637378
13,9013,'cars3d','beta_vae',1.0,,,,,,13,-1443.9929199219,30.7178783417,1443.9929199219,1413.2761230469,30.7178783417,1.0,1.0,0.7804,0.7878000000000001,0.8997,0.6995333333,0.1680809881,0.13958616910000002,0.0441351948,0.0116666667,0.8605934014000001,0.9234330523000001,0.9219284464
14,9014,'cars3d','beta_vae',1.0,,,,,,14,-1438.6134033203,30.6931438446,1438.6134033203,1407.91796875,30.6931438446,1.0,1.0,0.676,0.6880000000000001,0.8944666667000001,0.6932,0.1370119314,0.099417876,0.0103107608,0.003,0.8790385268,0.9230695965000001,0.9210305498
15,9015,'cars3d','beta_vae',1.0,,,,,,15,-1441.0844726562,30.8964118958,1441.0844726562,1410.1882324219,30.8964118958,1.0,1.0,0.8404,0.8310000000000001,0.8871666667,0.6865333333,0.19311411080000002,0.1283632555,0.0413363053,0.030733333300000002,0.8660603609,0.9160913181,0.9138266618
