,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,9000-9049,'cars3d','beta_vae',1.0,,,,,,0-49,-1441.4421704101624,30.785641288761997,1441.4421704101624,1410.656691894532,30.785641288761997,0.9997399999999999,0.99968,0.8137320000000001,0.8103199999999999,0.8737733333340002,0.6767760000020001,0.15489500486000002,0.10390343861800001,0.04586052038600001,0.014400000002000002,0.8524605435060002,0.9201788471100001,0.9183851891540001
1,9050-9099,'cars3d','beta_vae',2.0,,,,,,0-49,-1443.40463378907,25.881316909784,1469.285749511726,1417.5232617187542,51.762633819582,0.9999760000000001,0.9999800000000001,0.8367599999999998,0.836228,0.8385073333300003,0.669954666668,0.19447021153000005,0.129342392548,0.055455843672,0.012610666666,0.883678097816,0.918779809214,0.917295609076
2,9100-9149,'cars3d','beta_vae',4.0,,,,,,0-49,-1453.788498535162,20.070106468202,1513.9988598632863,1433.718242187502,80.280425872802,0.999964,0.9999760000000001,0.8775939999999999,0.8743240000000003,0.7247680000040002,0.612186666664,0.25581011142800003,0.169065823942,0.07329700119200001,0.011638666659999998,0.8985498990399999,0.9152460702319999,0.913499543352
3,9150-9199,'cars3d','beta_vae',6.0,,,,,,0-49,-1464.3226171874942,17.026404609684,1549.45450683593,1447.2960546874958,102.158432464596,0.9999979999999999,0.999996,0.8888519999999999,0.887048,0.7037480000020001,0.6076666666720001,0.294070981578,0.20434115251600002,0.08954015214199998,0.013017333330000002,0.912296633692,0.9072089157880001,0.9041274100079998
4,9200-9249,'cars3d','beta_vae',8.0,,,,,,0-49,-1475.63318115234,15.044257450104,1580.9428979492243,1460.589055175782,120.354059600824,0.9999979999999999,1.0,0.8864580000000001,0.884412,0.6479966666599999,0.5799093333380001,0.344396196164,0.24863015960600002,0.09995724749200001,0.012165333327999999,0.9191532592800001,0.9030734838140002,0.899489289166
5,9250-9299,'cars3d','beta_vae',16.0,,,,,,0-49,-1520.00805175781,11.105128459928,1686.5848608398499,1508.9027709960878,177.68205535888998,1.0,1.0,0.8941279999999999,0.8930600000000001,0.631344000004,0.575514666674,0.38695341618000006,0.28712376594399996,0.11736815916599999,0.010316,0.921244586112,0.899544249502,0.895934311156
6,9300-9349,'cars3d','factor_vae',,10.0,,,,,0-49,,28.461830711364,1519.596911621094,1465.9481835937518,53.648748321534,0.9999800000000001,0.9999800000000001,0.8797839999999999,0.8789840000000001,0.8300180000040001,0.6577533333320001,0.24659055253200002,0.20591683829600002,0.08545453257199999,0.016066666666,0.9247219448220001,0.89268662431,0.888648259244
7,9350-9399,'cars3d','factor_vae',,20.0,,,,,0-49,,27.349267692568002,1538.71418457031,1484.531545410152,54.183090667724,0.999996,0.999996,0.9048300000000001,0.90386,0.8218986666620001,0.650162666672,0.26888845588,0.230290298118,0.10463571438000001,0.019214666666,0.931021917746,0.887069722214,0.8821357276180001
8,9400-9449,'cars3d','factor_vae',,30.0,,,,,0-49,,25.986228065486,1546.032058105468,1494.0224731445278,52.009771881098004,0.9999979999999999,1.0,0.9140460000000001,0.9141879999999999,0.7813653333380002,0.628238666662,0.28952124827799997,0.24780021455999995,0.10232829224200002,0.019698666670000003,0.9353229189120001,0.88654561504,0.8814937355660003
9,9450-9499,'cars3d','factor_vae',,40.0,,,,,0-49,,26.571194114683998,1553.346816406256,1502.636042480462,50.710680122381994,1.0,1.0,0.914006,0.9138239999999999,0.8184233333319999,0.6449840000039999,0.267700405472,0.23142454888200004,0.10579074052399999,0.018077333332,0.933629181552,0.8860939761880001,0.881177894586
