,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,1800,'color_dsprites','beta_vae',1.0,,,,,,0,-339.4106750488,32.230506897,339.4106750488,307.1800231934,32.230506897,0.8160000000000001,0.7996000000000001,0.6631,0.6578,0.7336600000000001,0.36592,0.1062259656,0.1125018814,0.056358414600000004,0.0362,0.8230709383,0.7878355837000001,0.7784462830000001
1,1801,'color_dsprites','beta_vae',1.0,,,,,,1,-342.1825256348,32.3622512817,342.1825256348,309.8208312988,32.3622512817,0.8332,0.8246,0.6399,0.6412,0.74538,0.3766,0.1441618413,0.13171112740000002,0.0509128,0.03288,0.8241069477,0.7892809576,0.7789716329
2,1802,'color_dsprites','beta_vae',1.0,,,,,,2,-341.8518066406,32.2449150085,341.8518066406,309.6069335938,32.2449150085,0.8035,0.8056000000000001,0.6072000000000001,0.6144000000000001,0.7270800000000001,0.36596,0.1133170534,0.1151551517,0.0294642194,0.0164,0.7944892412,0.7845405351,0.7741443975000001
3,1803,'color_dsprites','beta_vae',1.0,,,,,,3,-340.015411377,32.0210151672,340.015411377,307.9945068359,32.0210151672,0.8542000000000001,0.8434,0.6776,0.674,0.73492,0.38044000000000006,0.15943694690000002,0.17143046480000002,0.09588386360000001,0.062200000000000005,0.802781712,0.7922924212,0.784502177
4,1804,'color_dsprites','beta_vae',1.0,,,,,,4,-340.8160705566,31.9649066925,340.8160705566,308.8512573242,31.9649066925,0.8156,0.805,0.6237,0.6136,0.73338,0.3698,0.1290964152,0.1358381623,0.0208971192,0.009760000000000001,0.8362553242,0.7924436878000001,0.7833126472
5,1805,'color_dsprites','beta_vae',1.0,,,,,,5,-340.7285766602,32.5480499268,340.7285766602,308.1805419922,32.5480499268,0.8453,0.8414,0.5753,0.5694,0.7463400000000001,0.38556,0.1721098292,0.1748333833,0.1088555385,0.06124,0.8186098462,0.7798081763,0.7699321085
6,1806,'color_dsprites','beta_vae',1.0,,,,,,6,-339.7253112793,32.3123779297,339.7253112793,307.4128417969,32.3123779297,0.8427,0.8356,0.6483,0.6534,0.73958,0.38392000000000004,0.1544791287,0.15252063770000002,0.0915791,0.058960000000000005,0.7920718599000001,0.7858246962000001,0.7758627575
7,1807,'color_dsprites','beta_vae',1.0,,,,,,7,-339.4749755859,32.0375213623,339.4749755859,307.4374084473,32.0375213623,0.7961,0.7888000000000001,0.6765,0.6764,0.7356600000000001,0.38120000000000004,0.1451717372,0.1339181452,0.0208334266,0.00856,0.8201739492000001,0.7933467877,0.7862064826
8,1808,'color_dsprites','beta_vae',1.0,,,,,,8,-339.0921325684,32.4101409912,339.0921325684,306.681854248,32.4101409912,0.8509,0.8396,0.5807,0.5902000000000001,0.7497400000000001,0.39640000000000003,0.1848908113,0.1846785766,0.0971909819,0.066,0.8477207329,0.7859511194000001,0.7772225033
9,1809,'color_dsprites','beta_vae',1.0,,,,,,9,-341.2612609863,32.3041305542,341.2612609863,308.9570617676,32.3041305542,0.8439000000000001,0.8384,0.6496000000000001,0.655,0.73572,0.37988000000000005,0.1617149095,0.17258512880000001,0.0948655417,0.05784,0.8162378652000001,0.7912860002000001,0.7825681872
10,1810,'color_dsprites','beta_vae',1.0,,,,,,10,-343.1463623047,32.2722206116,343.1463623047,310.874420166,32.2722206116,0.8228000000000001,0.8212,0.6980000000000001,0.7088,0.7325200000000001,0.35868000000000005,0.1235634305,0.11488062600000001,0.0609793997,0.019520000000000003,0.785725526,0.78680063,0.7769793992
11,1811,'color_dsprites','beta_vae',1.0,,,,,,11,-342.6326293945,32.4970169067,342.6326293945,310.1357421875,32.4970169067,0.8539,0.8502000000000001,0.6621,0.6606000000000001,0.7431,0.38708000000000004,0.1829725471,0.1836935565,0.1023482329,0.0644,0.8280934423,0.7803079503,0.7694450547
12,1812,'color_dsprites','beta_vae',1.0,,,,,,12,-342.4344787598,32.8917045593,342.4344787598,309.54296875,32.8917045593,0.7581,0.7496,0.5578000000000001,0.5624,0.72904,0.35096000000000005,0.0882991442,0.0967690487,0.021388522,0.005200000000000001,0.7854398855,0.7835444194000001,0.7739315157000001
13,1813,'color_dsprites','beta_vae',1.0,,,,,,13,-342.0238647461,32.1640930176,342.0238647461,309.859588623,32.1640930176,0.8569,0.8526,0.5725,0.5756,0.7446,0.38808000000000004,0.18465913,0.1886707892,0.10864708070000001,0.07032000000000001,0.8370683822,0.7926286114000001,0.7826959702
14,1814,'color_dsprites','beta_vae',1.0,,,,,,14,-341.517364502,32.5889167786,341.517364502,308.9283752441,32.5889167786,0.7336,0.7328,0.5419,0.526,0.735,0.358,0.08503968940000001,0.0752246708,0.0403714899,0.01692,0.7950298256,0.7835354988000001,0.7730684673
15,1815,'color_dsprites','beta_vae',1.0,,,,,,15,-340.6105651855,32.4248771667,340.6105651855,308.1858825684,32.4248771667,0.8260000000000001,0.8210000000000001,0.7633000000000001,0.765,0.7328600000000001,0.37536,0.15550294380000002,0.1510103721,0.0688831993,0.02884,0.8644310493,0.7895063537,0.7802378694000001
16,1816,'color_dsprites','beta_vae',1.0,,,,,,16,-341.7578735352,32.04322052,341.7578735352,309.7144775391,32.04322052,0.8371000000000001,0.8282,0.6745,0.679,0.7361800000000001,0.37632000000000004,0.1461393534,0.14000174710000002,0.0789692674,0.03712,0.8238443019,0.7830908473,0.7739602224000001
17,1817,'color_dsprites','beta_vae',1.0,,,,,,17,-342.0219421387,32.3020439148,342.0219421387,309.7199707031,32.3020439148,0.8356,0.8334,0.625,0.6406000000000001,0.74282,0.37628,0.1197690862,0.1300308011,0.0540997937,0.029480000000000003,0.8288281362000001,0.794504337,0.7875101477
18,1818,'color_dsprites','beta_vae',1.0,,,,,,18,-340.7687072754,32.811214447,340.7687072754,307.9573974609,32.811214447,0.8449000000000001,0.841,0.6203000000000001,0.6174000000000001,0.7366400000000001,0.37656,0.1371445174,0.1423438527,0.0878891607,0.05308,0.8580748409000001,0.7885279095000001,0.7785639702
19,1819,'color_dsprites','beta_vae',1.0,,,,,,19,-342.7458190918,32.3852806091,342.7458190918,310.3603515625,32.3852806091,0.8516,0.8348,0.6563,0.6618,0.7365400000000001,0.37976000000000004,0.1462339231,0.1501363179,0.0867619048,0.060480000000000006,0.8439438086000001,0.7881651362000001,0.7785849196
20,1820,'color_dsprites','beta_vae',1.0,,,,,,20,-340.0592041016,32.3112297058,340.0592041016,307.7481079102,32.3112297058,0.8259000000000001,0.8298000000000001,0.6512,0.642,0.73906,0.3698,0.1127746773,0.1184485304,0.0655996417,0.04632000000000001,0.8372912974000001,0.7841789306,0.7740636326
21,1821,'color_dsprites','beta_vae',1.0,,,,,,21,-342.7847900391,31.9889793396,342.7847900391,310.795715332,31.9889793396,0.8484,0.8322,0.6089,0.605,0.73946,0.37464000000000003,0.1451495353,0.1553482894,0.08803547590000001,0.059000000000000004,0.7975962834,0.7909969393,0.7816873673
22,1822,'color_dsprites','beta_vae',1.0,,,,,,22,-341.2628173828,32.5286026001,341.2628173828,308.7343444824,32.5286026001,0.8362,0.8274,0.674,0.6678000000000001,0.7416200000000001,0.3794,0.1260832576,0.13858553140000002,0.060939662900000004,0.03708,0.8420196664,0.7957160833,0.7872412927
23,1823,'color_dsprites','beta_vae',1.0,,,,,,23,-340.513458252,32.6648445129,340.513458252,307.8489379883,32.6648445129,0.7877000000000001,0.7758,0.6411,0.6242,0.7232400000000001,0.35912000000000005,0.11681557270000001,0.12419729110000001,0.03361349,0.014320000000000001,0.8062908297,0.7865977460000001,0.7770472072
24,1824,'color_dsprites','beta_vae',1.0,,,,,,24,-340.6020812988,32.7138824463,340.6020812988,307.888092041,32.7138824463,0.842,0.8324,0.6173000000000001,0.629,0.7361200000000001,0.37764000000000003,0.1648368801,0.1707819701,0.1000505742,0.049760000000000006,0.7798105085,0.7844864432,0.773886945
25,1825,'color_dsprites','beta_vae',1.0,,,,,,25,-342.2295837402,32.1364440918,342.2295837402,310.0930480957,32.1364440918,0.8509,0.8462000000000001,0.6053000000000001,0.61,0.74128,0.3788,0.1470593469,0.1675408931,0.0925772762,0.04972000000000001,0.8345898822000001,0.7908131552000001,0.7825598403
26,1826,'color_dsprites','beta_vae',1.0,,,,,,26,-339.3315734863,32.5177192688,339.3315734863,306.8140258789,32.5177192688,0.7952,0.7876000000000001,0.5854,0.5962000000000001,0.7291200000000001,0.36124,0.1105233964,0.1166933509,0.047719694,0.02704,0.8030482718,0.7852741639,0.7758887901
27,1827,'color_dsprites','beta_vae',1.0,,,,,,27,-342.612487793,32.2777671814,342.612487793,310.3348388672,32.2777671814,0.8272,0.8152,0.5811000000000001,0.5878,0.73418,0.36792,0.1180360644,0.134241471,0.07351872720000001,0.044360000000000004,0.7615895509,0.7897489839,0.7818141845000001
28,1828,'color_dsprites','beta_vae',1.0,,,,,,28,-340.1042175293,32.3337440491,340.1042175293,307.7708435059,32.3337440491,0.834,0.8218000000000001,0.5837,0.5866,0.74246,0.37296,0.1472395616,0.13119690620000002,0.0528922977,0.02704,0.8387628814,0.7863843835000001,0.7773080291000001
29,1829,'color_dsprites','beta_vae',1.0,,,,,,29,-340.6955566406,32.1974906921,340.6955566406,308.4980773926,32.1974906921,0.8577,0.8446,0.6333000000000001,0.6272,0.75812,0.40604,0.202843887,0.21087937110000002,0.1337549347,0.07592,0.7973283425000001,0.7833710533,0.7743360288000001
30,1830,'color_dsprites','beta_vae',1.0,,,,,,30,-342.6863098145,32.4142074585,342.6863098145,310.2721862793,32.4142074585,0.7567,0.7514000000000001,0.5795,0.5774,0.72794,0.3572,0.08932898560000001,0.1050373208,0.0227343111,0.02596,0.7493578821,0.7790487285000001,0.7693033991
