,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,0,'dsprites_full','beta_vae',1.0,,,,,,0,-46.0039672852,27.6647949219,46.0039672852,18.3391971588,27.6647949219,0.8553000000000001,0.8606,0.6549,0.6502,0.7555400000000001,0.41172000000000003,0.15528840600000002,0.1680487387,0.1059007534,0.06432,0.8554350486000001,0.7954357417,0.7849082556
1,1,'dsprites_full','beta_vae',1.0,,,,,,1,-47.0531349182,28.0944881439,47.0531349182,18.9586677551,28.0944881439,0.8337,0.8318000000000001,0.7091000000000001,0.7056,0.75638,0.402,0.1250301658,0.1134548647,0.0657695939,0.02644,0.8490610859000001,0.7835492397,0.7722115223
2,2,'dsprites_full','beta_vae',1.0,,,,,,2,-46.7972717285,27.9835186005,46.7972717285,18.8137683868,27.9835186005,0.764,0.7684000000000001,0.6323000000000001,0.6168,0.75434,0.394,0.10181461900000001,0.1035755787,0.020143752100000002,0.014640000000000002,0.8041589483,0.7854489963,0.7743460589000001
3,3,'dsprites_full','beta_vae',1.0,,,,,,3,-46.1870155334,27.9068069458,46.1870155334,18.2802181244,27.9068069458,0.7715000000000001,0.7784000000000001,0.6155,0.6172000000000001,0.7475600000000001,0.39308000000000004,0.1025313234,0.09952053,0.0482495121,0.031560000000000005,0.7933209188,0.7706942348,0.7567995474
4,4,'dsprites_full','beta_vae',1.0,,,,,,4,-46.7949256897,27.7780342102,46.7949256897,19.0169048309,27.7780342102,0.8448,0.848,0.6938000000000001,0.6938000000000001,0.7484400000000001,0.3982,0.1486042622,0.15906811310000002,0.0866967798,0.053720000000000004,0.8329255483,0.7924945503,0.7818398427000001
5,5,'dsprites_full','beta_vae',1.0,,,,,,5,-46.858341217,27.8003845215,46.858341217,19.0579242706,27.8003845215,0.8280000000000001,0.8294,0.5815,0.584,0.74692,0.38964000000000004,0.1157543329,0.1273780776,0.0770126732,0.053360000000000005,0.8135366467,0.7839367878,0.7708201458
6,6,'dsprites_full','beta_vae',1.0,,,,,,6,-45.9521789551,27.6284427643,45.9521789551,18.3237533569,27.6284427643,0.8505,0.8478,0.6254000000000001,0.6214000000000001,0.7689800000000001,0.43524,0.1938463138,0.2091957512,0.12946104090000002,0.07708000000000001,0.8009432792000001,0.784127189,0.7727385903
7,7,'dsprites_full','beta_vae',1.0,,,,,,7,-45.867515564,27.6266784668,45.867515564,18.2408542633,27.6266784668,0.8634000000000001,0.8622000000000001,0.7091000000000001,0.7058,0.7683200000000001,0.43248000000000003,0.1959786254,0.1837414226,0.09272046340000001,0.05172,0.8713311658,0.7925404974,0.7818764156
8,8,'dsprites_full','beta_vae',1.0,,,,,,8,-45.7379646301,27.5890312195,45.7379646301,18.1489467621,27.5890312195,0.8478,0.8474,0.7802,0.7706000000000001,0.76114,0.41500000000000004,0.156264228,0.1434562913,0.07710315670000001,0.049240000000000006,0.854651205,0.7886042088,0.7766026307
9,9,'dsprites_full','beta_vae',1.0,,,,,,9,-46.5635795593,27.7884063721,46.5635795593,18.7752017975,27.7884063721,0.8358,0.8412000000000001,0.6737000000000001,0.6782,0.75438,0.41300000000000003,0.1605969977,0.15551163610000002,0.0759151494,0.05888,0.8359913119,0.7781473736000001,0.7663942961
