,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,3600,'noisy_dsprites','beta_vae',1.0,,,,,,0,-8201.921875,24.572473526,8201.921875,8177.3461914062,24.572473526,0.6486000000000001,0.643,0.5283,0.522,0.73772,0.38728,0.0546446477,0.072174161,0.0490011297,0.01204,0.8430262918,0.7327947226,0.7194983779
1,3601,'noisy_dsprites','beta_vae',1.0,,,,,,1,-8200.025390625,24.3249759674,8200.025390625,8175.701171875,24.3249759674,0.6819000000000001,0.6952,0.5294,0.5264,0.727,0.39728,0.08456852220000001,0.1184412542,0.0170381049,0.027,0.7120148225,0.7112424222,0.7012131246000001
2,3602,'noisy_dsprites','beta_vae',1.0,,,,,,2,-8201.9990234375,24.9227790833,8201.9990234375,8177.0795898438,24.9227790833,0.6154000000000001,0.6074,0.38980000000000004,0.38980000000000004,0.7246,0.37524,0.0376262719,0.0717802661,0.0089875221,0.004520000000000001,0.8093825788,0.7054796054,0.6947696805
3,3603,'noisy_dsprites','beta_vae',1.0,,,,,,3,-8201.232421875,25.0726966858,8201.232421875,8176.1625976562,25.0726966858,0.6139,0.6096,0.4043,0.4032,0.73058,0.37652,0.0352124635,0.064833547,0.0096523748,0.0028,0.8419642794000001,0.7211152286,0.7096982812
4,3604,'noisy_dsprites','beta_vae',1.0,,,,,,4,-8200.1357421875,24.5871658325,8200.1357421875,8175.5424804688,24.5871658325,0.6216,0.6086,0.4403,0.4506,0.72696,0.377,0.0516457046,0.076114782,0.0124134884,0.01072,0.7665745075,0.7359169799,0.7275400096
5,3605,'noisy_dsprites','beta_vae',1.0,,,,,,5,-8200.140625,24.2225208282,8200.140625,8175.9233398438,24.2225208282,0.6383,0.6314000000000001,0.4374,0.4514,0.74514,0.40184000000000003,0.0782523213,0.10218929160000001,0.0277752913,0.00536,0.7834814451000001,0.7009755313,0.6900112831
6,3606,'noisy_dsprites','beta_vae',1.0,,,,,,6,-8199.6474609375,24.5437488556,8199.6474609375,8175.1098632812,24.5437488556,0.5837,0.5766,0.4207,0.42,0.72272,0.37936000000000003,0.0445648855,0.0771363013,0.0096982075,0.01984,0.7140390551,0.721078371,0.7148971425
7,3607,'noisy_dsprites','beta_vae',1.0,,,,,,7,-8200.2490234375,25.0846977234,8200.2490234375,8175.1538085938,25.0846977234,0.637,0.636,0.4449,0.4404,0.73572,0.38588000000000006,0.0455039569,0.0647006388,0.0233926918,0.00772,0.7833028830000001,0.7594353034,0.7481612547000001
8,3608,'noisy_dsprites','beta_vae',1.0,,,,,,8,-8200.546875,24.8282279968,8200.546875,8175.7197265625,24.8282279968,0.6426000000000001,0.6318,0.4993,0.5048,0.7254400000000001,0.37220000000000003,0.0461884549,0.075616522,0.0212344834,0.008440000000000001,0.8028150248,0.7229812898,0.7159811482
9,3609,'noisy_dsprites','beta_vae',1.0,,,,,,9,-8200.744140625,23.4107437134,8200.744140625,8177.3325195312,23.4107437134,0.5739000000000001,0.5614,0.3801,0.3776,0.7464400000000001,0.40224000000000004,0.0449750095,0.08252737880000001,0.0092407229,0.005840000000000001,0.7879510863,0.7078382699,0.6972145004
10,3610,'noisy_dsprites','beta_vae',1.0,,,,,,10,-8200.2607421875,26.2309074402,8200.2607421875,8174.0380859375,26.2309074402,0.6287,0.6228,0.46180000000000004,0.457,0.72096,0.36984000000000006,0.0430368026,0.0550977595,0.0143241505,0.00512,0.7515355942,0.7412811021,0.7317789072
11,3611,'noisy_dsprites','beta_vae',1.0,,,,,,11,-8199.3505859375,24.5993423462,8199.3505859375,8174.7456054688,24.5993423462,0.516,0.5162,0.3638,0.366,0.72918,0.38020000000000004,0.0357675025,0.07548662560000001,0.0075062817,0.00284,0.7985445709000001,0.6901521941000001,0.67524683
12,3612,'noisy_dsprites','beta_vae',1.0,,,,,,12,-8202.283203125,25.2751274109,8202.283203125,8177.0043945312,25.2751274109,0.6138,0.6012000000000001,0.3577,0.3662,0.7179200000000001,0.37516000000000005,0.0376810594,0.058291118200000006,0.0192240382,0.0036400000000000004,0.8200557047,0.7125242379000001,0.7010026852
13,3613,'noisy_dsprites','beta_vae',1.0,,,,,,13,-8200.689453125,24.281829834,8200.689453125,8176.4057617188,24.281829834,0.5563,0.5552,0.4264,0.43960000000000005,0.73394,0.38068,0.051846203800000004,0.084531619,0.0138300068,0.015960000000000002,0.7880297438,0.7213650715000001,0.7097568176
14,3614,'noisy_dsprites','beta_vae',1.0,,,,,,14,-8201.181640625,23.7128372192,8201.181640625,8177.4750976562,23.7128372192,0.6397,0.6302,0.42060000000000003,0.436,0.7404200000000001,0.38724000000000003,0.0479572525,0.07658884070000001,0.0408516814,0.0030800000000000003,0.8315696020000001,0.7212414756000001,0.7131404164
15,3615,'noisy_dsprites','beta_vae',1.0,,,,,,15,-8199.9970703125,23.0884456635,8199.9970703125,8176.912109375,23.0884456635,0.6123000000000001,0.6002000000000001,0.4419,0.447,0.7448600000000001,0.4116,0.0627265202,0.0921384051,0.0121602589,0.006960000000000001,0.7974346559000001,0.7172300936,0.7087242589
16,3616,'noisy_dsprites','beta_vae',1.0,,,,,,16,-8199.544921875,25.100561142,8199.544921875,8174.4560546875,25.100561142,0.6628000000000001,0.6714,0.49420000000000003,0.49560000000000004,0.72796,0.38176000000000004,0.0544683009,0.0599501443,0.0225307439,0.0061200000000000004,0.769960772,0.7465222699,0.7341555636
17,3617,'noisy_dsprites','beta_vae',1.0,,,,,,17,-8200.4072265625,24.9782962799,8200.4072265625,8175.4301757812,24.9782962799,0.6192000000000001,0.6084,0.423,0.42,0.72392,0.37896,0.0384424134,0.0679962613,0.009885165900000001,0.020560000000000002,0.8082920468,0.7215371904,0.7095478899000001
18,3618,'noisy_dsprites','beta_vae',1.0,,,,,,18,-8199.3203125,24.5860404968,8199.3203125,8174.73828125,24.5860404968,0.6762,0.6768000000000001,0.4499,0.446,0.7324600000000001,0.39304000000000006,0.0642343986,0.0914678045,0.0220023202,0.0196,0.7620220564,0.7255060429,0.7133383999999999
19,3619,'noisy_dsprites','beta_vae',1.0,,,,,,19,-8200.44921875,24.8663978577,8200.44921875,8175.5825195312,24.8663978577,0.5945,0.5852,0.4726,0.4726,0.73694,0.3916,0.0740109312,0.08104998940000001,0.0166118743,0.0031200000000000004,0.699970445,0.7495724593,0.7390015754
20,3620,'noisy_dsprites','beta_vae',1.0,,,,,,20,-8200.859375,25.0128421783,8200.859375,8175.8466796875,25.0128421783,0.6358,0.6284000000000001,0.49610000000000004,0.4978,0.72106,0.37016000000000004,0.0464907632,0.0766171398,0.0183854598,0.011120000000000001,0.7866263494,0.7209877373,0.7085962057
21,3621,'noisy_dsprites','beta_vae',1.0,,,,,,21,-8200.3974609375,24.5802974701,8200.3974609375,8175.8081054688,24.5802974701,0.6237,0.6168,0.4308,0.435,0.7352200000000001,0.39540000000000003,0.06799056340000001,0.1040095701,0.0196230361,0.005520000000000001,0.7514154482000001,0.7003109272,0.6867214384
22,3622,'noisy_dsprites','beta_vae',1.0,,,,,,22,-8200.8505859375,25.3185958862,8200.8505859375,8175.537109375,25.3185958862,0.6338,0.6398,0.36960000000000004,0.3602,0.7229,0.37636000000000003,0.044197391100000004,0.05967048900000001,0.009827538700000001,0.0118,0.8271417801000001,0.7344802596000001,0.7232544547
23,3623,'noisy_dsprites','beta_vae',1.0,,,,,,23,-8201.486328125,24.9227275848,8201.486328125,8176.5698242188,24.9227275848,0.6494,0.6416000000000001,0.39940000000000003,0.40180000000000005,0.72452,0.384,0.0416726003,0.0695474206,0.0252729464,0.0102,0.7836406919000001,0.7303467954,0.7188462685
24,3624,'noisy_dsprites','beta_vae',1.0,,,,,,24,-8199.9462890625,25.1132831573,8199.9462890625,8174.830078125,25.1132831573,0.6263000000000001,0.6218,0.4287,0.4298,0.723,0.38752000000000003,0.048529806200000004,0.0638782105,0.014180710800000001,0.007200000000000001,0.767709708,0.7271731273,0.7162220117
25,3625,'noisy_dsprites','beta_vae',1.0,,,,,,25,-8201.67578125,24.4145965576,8201.67578125,8177.2607421875,24.4145965576,0.6464000000000001,0.635,0.5363,0.5412,0.7470800000000001,0.406,0.0763653978,0.1017551148,0.023820088200000002,0.00544,0.8293961581,0.7018564096000001,0.6909327574
26,3626,'noisy_dsprites','beta_vae',1.0,,,,,,26,-8200.912109375,25.4880867004,8200.912109375,8175.4228515625,25.4880867004,0.63,0.6284000000000001,0.44870000000000004,0.4546,0.71992,0.38516000000000006,0.0578161342,0.0798812886,0.026521231200000002,0.00544,0.7415381244,0.7000844224,0.6876028365
27,3627,'noisy_dsprites','beta_vae',1.0,,,,,,27,-8200.697265625,24.159368515,8200.697265625,8176.5327148438,24.159368515,0.6394000000000001,0.6392,0.4723,0.47140000000000004,0.7345400000000001,0.39156,0.0618433524,0.09696198810000001,0.0162118075,0.00372,0.8059953571,0.701272228,0.6892089057
28,3628,'noisy_dsprites','beta_vae',1.0,,,,,,28,-8199.822265625,24.5752811432,8199.822265625,8175.2543945312,24.5752811432,0.6285000000000001,0.6194000000000001,0.3811,0.38180000000000003,0.7398800000000001,0.39736000000000005,0.0488794196,0.0722575998,0.007099684,0.0044800000000000005,0.8387854768,0.7011479948,0.6887216798
29,3629,'noisy_dsprites','beta_vae',1.0,,,,,,29,-8202.216796875,26.009437561,8202.216796875,8176.2045898438,26.009437561,0.6659,0.654,0.4555,0.458,0.72606,0.37012,0.0408362793,0.0636132432,0.0080690317,0.00868,0.7685905644000001,0.7576566502000001,0.7447377445000001
30,3630,'noisy_dsprites','beta_vae',1.0,,,,,,30,-8200.5029296875,23.4498844147,8200.5029296875,8177.0512695312,23.4498844147,0.6202000000000001,0.6062000000000001,0.43460000000000004,0.4364,0.7402200000000001,0.38616000000000006,0.0379927305,0.0668725216,0.0147042353,0.007,0.8249405103,0.7344121781,0.7259491674
31,3631,'noisy_dsprites','beta_vae',1.0,,,,,,31,-8202.203125,24.9275436401,8202.203125,8177.2763671875,24.9275436401,0.6206,0.6134000000000001,0.3886,0.3904,0.72152,0.37252,0.039019738400000004,0.06992896280000001,0.018644772100000002,0.0098,0.844837116,0.7268699579,0.7148969746
32,3632,'noisy_dsprites','beta_vae',1.0,,,,,,32,-8202.2333984375,25.7106952667,8202.2333984375,8176.5229492188,25.7106952667,0.6469,0.6478,0.4636,0.4738,0.7288600000000001,0.3766,0.047690360300000005,0.060409620500000004,0.0181153299,0.010440000000000001,0.8383864403,0.7374170609,0.7263383733000001
33,3633,'noisy_dsprites','beta_vae',1.0,,,,,,33,-8200.31640625,23.383234024,8200.31640625,8176.9404296875,23.383234024,0.63,0.618,0.419,0.4152,0.73958,0.39356,0.0442354843,0.0906117132,0.020543337800000002,0.00472,0.8243927325,0.7045062726,0.6922424786
34,3634,'noisy_dsprites','beta_vae',1.0,,,,,,34,-8201.3603515625,24.9493141174,8201.3603515625,8176.4194335938,24.9493141174,0.612,0.6042000000000001,0.3497,0.3654,0.7284600000000001,0.38676000000000005,0.0429554238,0.0756374361,0.024959754900000002,0.005,0.8343465909000001,0.7178399527,0.706653705
35,3635,'noisy_dsprites','beta_vae',1.0,,,,,,35,-8200.6982421875,25.6886291504,8200.6982421875,8175.0141601562,25.6886291504,0.6479,0.6492,0.4711,0.47100000000000003,0.7210200000000001,0.37316000000000005,0.0543609648,0.06998932050000001,0.0353359502,0.0071200000000000005,0.8062671718000001,0.7155524183,0.7058501124000001
36,3636,'noisy_dsprites','beta_vae',1.0,,,,,,36,-8202.4462890625,24.8461761475,8202.4462890625,8177.6040039062,24.8461761475,0.6561,0.6444000000000001,0.48760000000000003,0.496,0.72884,0.38664000000000004,0.0565528738,0.07680808210000001,0.0227201962,0.008320000000000001,0.8036833686,0.7410869162,0.7307064391
37,3637,'noisy_dsprites','beta_vae',1.0,,,,,,37,-8200.85546875,24.9859657288,8200.85546875,8175.859375,24.9859657288,0.5948,0.5822,0.3461,0.3578,0.7271000000000001,0.37832000000000005,0.031472494000000004,0.0529185745,0.0158573105,0.013120000000000001,0.8274734507,0.7145887864,0.7052790452000001
