,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,3600-3649,'noisy_dsprites','beta_vae',1.0,,,,,,0-49,-8200.7490234375,24.683528366087998,8200.7490234375,8176.065976562495,24.683528366087998,0.6286400000000001,0.622256,0.445246,0.44754400000000005,0.7315008000000002,0.3869680000000001,0.05295731909,0.078811153996,0.019639883592,0.0089208,0.7947828865519999,0.722074551684,0.7112170024200001
1,3650-3699,'noisy_dsprites','beta_vae',2.0,,,,,,0-49,-8202.06296875,17.929254379274,8219.99376953125,8184.1346582031165,35.858508758546,0.6162920000000001,0.6090720000000001,0.45918800000000004,0.462224,0.7611012000000001,0.42306160000000004,0.07186205745400001,0.103936447066,0.0257631504,0.008464000000000001,0.7782568424979999,0.719006592504,0.7096340833160001
2,3700-3749,'noisy_dsprites','beta_vae',4.0,,,,,,0-49,-8213.11533203125,12.957410526275998,8251.986796875,8200.157265625,51.82964210510399,0.6433639999999999,0.6375559999999999,0.44470000000000004,0.44720000000000004,0.7529804000000001,0.430412,0.109115926108,0.141828380846,0.05189288930600001,0.0098808,0.797206127216,0.7333709064580001,0.725952510658
3,3750-3799,'noisy_dsprites','beta_vae',6.0,,,,,,0-49,-8226.44248046875,10.278235073088002,8277.8321484375,8216.16283203125,61.66941230774199,0.6735280000000001,0.66804,0.48362,0.488828,0.7492176,0.43776560000000003,0.15314824673400002,0.18399017552400004,0.07191592666,0.0133528,0.813387019634,0.748591292026,0.7415262188000001
4,3800-3849,'noisy_dsprites','beta_vae',8.0,,,,,,0-49,-8244.14912109375,8.233353233346001,8301.78193359375,8235.91533203125,65.866825866708,0.6632399999999999,0.6595120000000001,0.46014000000000005,0.46564400000000006,0.7440876000000002,0.44065519999999997,0.146115726114,0.18899422600800006,0.07637116458,0.010376800000000002,0.8054984493020001,0.744439115546,0.7365629914580001
5,3850-3899,'noisy_dsprites','beta_vae',16.0,,,,,,0-49,-8273.65869140625,5.562939434056001,8357.1030859375,8268.09611328125,89.00703094482198,0.6351740000000001,0.6309400000000001,0.38971000000000006,0.38635600000000003,0.7023968,0.4165664,0.12871277144,0.17878159028,0.081241151004,0.0104784,0.8596982928840002,0.7355798466560001,0.7240721566260001
6,3900-3949,'noisy_dsprites','factor_vae',,10.0,,,,,0-49,,17.802942581176,8219.79,8196.18603515625,23.604033393865997,0.6697680000000003,0.664568,0.5321440000000001,0.53572,0.7516387999999999,0.4201456000000001,0.12033004191600001,0.17176772764999995,0.059990827956,0.0099856,0.725178432414,0.7243654081600001,0.714798727772
7,3950-3999,'noisy_dsprites','factor_vae',,20.0,,,,,0-49,,17.504115104676,8223.069921875,8200.1471484375,22.923049087518,0.676166,0.671888,0.538404,0.540572,0.7468920000000001,0.4171328,0.12825026970800002,0.18086605004,0.062696956924,0.011685600000000003,0.7254273106700001,0.72595315009,0.716072399226
8,4000-4049,'noisy_dsprites','factor_vae',,30.0,,,,,0-49,,17.149362983702,8225.39033203125,8202.2725,23.11761638642,0.690128,0.6846119999999999,0.535552,0.540324,0.7431667999999999,0.4117632000000001,0.12462980717000001,0.177109320704,0.059788417168000006,0.011968800000000002,0.73929372605,0.7295782780040001,0.720242523716
9,4050-4099,'noisy_dsprites','factor_vae',,40.0,,,,,0-49,,16.97750326157,8225.82302734375,8203.732890625,22.089817428588002,0.6908719999999999,0.6860400000000001,0.526788,0.5289240000000001,0.7403888000000001,0.40995919999999997,0.12279386986199999,0.17404626741799997,0.056322770108,0.0117832,0.748259988588,0.732175962664,0.722743172454
10,4100-4149,'noisy_dsprites','factor_vae',,50.0,,,,,0-49,,17.051118640897997,8226.28935546875,8204.6301953125,21.658627319329998,0.6722739999999999,0.6670960000000001,0.502922,0.503784,0.7357212,0.40348319999999993,0.11829246288599998,0.16531707807000004,0.05108860260999999,0.010546400000000003,0.750065169704,0.732217346486,0.7230475417980001
11,4150-4199,'noisy_dsprites','factor_vae',,100.0,,,,,0-49,,169565.7237833023,-161443.4941796875,8220.74375,-169664.71129431724,0.6919819999999999,0.6869120000000001,0.507774,0.508136,0.72134,0.38925280000000007,0.130101463298,0.16447683471400001,0.052443679854,0.012252,0.78940225822,0.7427150377860001,0.734127024488
12,4200-4249,'noisy_dsprites','dip_vae_i',,,10.0,1.0,,,0-49,-8203.4158984375,27.533725204468002,8206.6027734375,8175.881542968743,30.720698928836,0.7416340000000001,0.737716,0.508534,0.5014919999999999,0.7267000000000001,0.36343040000000004,0.06368710115800001,0.059764533259999995,0.031318129118000006,0.017823200000000004,0.859686771518,0.7680346015100002,0.755342302776
13,4250-4299,'noisy_dsprites','dip_vae_i',,,10.0,2.0,,,0-49,-8204.11263671875,27.707055816654,8209.89181640625,8176.405488281242,33.486075744636,0.764666,0.7612759999999998,0.5393100000000001,0.53144,0.7289192000000001,0.36813520000000005,0.073853710598,0.067919778252,0.037797072002,0.0222424,0.8750996058,0.7721632326779999,0.759292580618
14,4300-4349,'noisy_dsprites','dip_vae_i',,,10.0,5.0,,,0-49,-8205.67466796875,28.127261619568,8218.55125,8177.546718749994,41.005221252439995,0.766916,0.7650519999999998,0.564266,0.55844,0.731624,0.37197600000000014,0.068825034204,0.060435558070000006,0.037692338942000005,0.020824799999999997,0.874915597772,0.7745283145920001,0.7612595616839998
15,4350-4399,'noisy_dsprites','dip_vae_i',,,10.0,10.0,,,0-49,-8207.9802734375,28.868713531498003,8231.50697265625,8179.1099804687465,52.39515136719601,0.7437900000000001,0.7391160000000001,0.5448440000000001,0.539524,0.7293144000000001,0.3729000000000001,0.05336840608599999,0.04325456635,0.022392753186,0.011108000000000002,0.8810053029480001,0.7720096888419999,0.758619790196
16,4400-4449,'noisy_dsprites','dip_vae_i',,,10.0,20.0,,,0-49,-8211.90798828125,29.86224464417,8254.769375,8182.044619140619,72.725065460204,0.7209039999999999,0.71634,0.52471,0.520004,0.7281228000000002,0.373596,0.042234911454,0.032539716463999994,0.018057911278000004,0.0077376,0.8720862546219998,0.7689322187240002,0.7551338696940002
17,4450-4499,'noisy_dsprites','dip_vae_i',,,10.0,50.0,,,0-49,-8220.73009765625,30.635106277472,8317.68275390625,8190.0951074218765,127.588424682616,0.7029079999999999,0.6975840000000001,0.505928,0.5005839999999999,0.719786,0.36875040000000014,0.036001847026,0.027292452063999998,0.015648453162,0.005652000000000001,0.885420779276,0.7625086228299999,0.7484659451419999
18,4500-4549,'noisy_dsprites','dip_vae_ii',,,1.0,1.0,,,0-49,-8201.2083984375,23.238850975038005,8202.2159375,8177.971025390627,24.245433158881998,0.619282,0.611616,0.40662600000000004,0.409,0.7345900000000001,0.38478320000000005,0.043106397738,0.069217308176,0.018672427716000004,0.0095536,0.783478054804,0.729093963852,0.718788704232
19,4550-4599,'noisy_dsprites','dip_vae_ii',,,1.0,2.0,,,0-49,-8201.0846484375,22.234023094175996,8202.787890625,8178.851445312496,23.937162284853997,0.6110740000000001,0.60372,0.412708,0.41566400000000003,0.7410720000000001,0.3912528000000001,0.044667947343999995,0.07477925774,0.020594056194000007,0.0079416,0.78668334231,0.7260976681720002,0.7156569616760001
20,4600-4649,'noisy_dsprites','dip_vae_ii',,,1.0,5.0,,,0-49,-8202.66671875,19.92451305389,8205.5605078125,8182.741386718752,22.818280715944002,0.6114400000000001,0.603988,0.39618000000000003,0.3980719999999999,0.7370375999999998,0.39450320000000005,0.06024627561600001,0.09799431450999999,0.024784594358000005,0.007452000000000001,0.7951948006380001,0.728922795066,0.719621281272
21,4650-4699,'noisy_dsprites','dip_vae_ii',,,1.0,10.0,,,0-49,-8203.9849609375,19.057832717894,8208.3148046875,8184.92734375,23.387176475524,0.64153,0.636136,0.41690400000000005,0.42073200000000005,0.7340200000000001,0.39681039999999995,0.078387330962,0.113610565918,0.03408849967,0.0082248,0.8171666464559999,0.7397329436360002,0.7308380225580001
22,4700-4749,'noisy_dsprites','dip_vae_ii',,,1.0,20.0,,,0-49,-8208.303125,17.913732433312,8214.9348046875,8190.388974609369,24.545541229250002,0.6928160000000001,0.687864,0.4480080000000001,0.4512120000000001,0.7396324000000001,0.41434160000000003,0.12608706394,0.16568217993599998,0.051676797364000014,0.009006400000000001,0.81081189187,0.750434248538,0.742094026866
23,4750-4799,'noisy_dsprites','dip_vae_ii',,,1.0,50.0,,,0-49,-8240.01431640625,12.731526279446003,8247.47615234375,8227.281630859374,20.193347320556,0.6044180000000001,0.5938520000000002,0.38234999999999997,0.386884,0.7087836000000002,0.38457840000000004,0.063516210578,0.12488109223800002,0.037874670812,0.007484000000000001,0.772666093348,0.7323774927839999,0.722348134454
24,4800-4849,'noisy_dsprites','beta_tc_vae',,,,,1.0,,0-49,-8200.81556640625,24.658857879632002,8200.81556640625,8176.155615234374,24.658857879632002,0.630534,0.62368,0.443506,0.44482,0.7314972000000001,0.384656,0.052257845693999994,0.07759914664,0.019921467484,0.009725600000000003,0.7933396876759998,0.7250054363280001,0.7138634087399999
25,4850-4899,'noisy_dsprites','beta_tc_vae',,,,,2.0,,0-49,-8201.84763671875,18.376259536741998,8176.780693359374,8183.471962890628,-6.6906413173580015,0.618834,0.613844,0.45253199999999993,0.454776,0.7612844000000001,0.42620640000000004,0.07457458457,0.09916882332600002,0.029928718672000004,0.008608,0.7889994499540001,0.7239236397640001,0.7150164558920001
26,4900-4949,'noisy_dsprites','beta_tc_vae',,,,,4.0,,0-49,-8211.23548828125,13.672117614742001,8123.801933593752,8197.56365234375,-73.762106323238,0.6406000000000001,0.634992,0.45057,0.4549079999999999,0.7531452000000002,0.42974880000000004,0.11390106355400001,0.15782665935800003,0.055417165665999996,0.009122400000000001,0.814307651038,0.7241289842360001,0.7154564253160001
27,4950-4999,'noisy_dsprites','beta_tc_vae',,,,,6.0,,0-49,-8223.800546875,10.91622558594,8066.1440527343775,8212.88296875,-146.740162963864,0.6837440000000002,0.6788000000000001,0.472416,0.477604,0.7525392000000001,0.43858160000000007,0.151335424764,0.20102329529800003,0.06674576112200001,0.011175200000000001,0.8294774917700001,0.7321354373760001,0.72452397491
28,5000-5049,'noisy_dsprites','beta_tc_vae',,,,,8.0,,0-49,-8247.4969921875,8.189830255504,8009.9854785156285,8239.30759765625,-229.32165344238402,0.6385799999999999,0.633844,0.40428200000000003,0.41022000000000003,0.7256192,0.4098184,0.10768745569,0.167499164194,0.059527858322,0.009410400000000001,0.806466172814,0.7308830770520001,0.7222203981520002
29,5050-5099,'noisy_dsprites','beta_tc_vae',,,,,10.0,,0-49,-8255.22966796875,7.3310017681140005,7943.153037109376,8247.89927734375,-304.74579162597803,0.621756,0.61562,0.368866,0.372544,0.7130676000000001,0.3971368,0.086693627084,0.149549227584,0.057487378436000006,0.0092088,0.8264277394439999,0.727721192272,0.7179942103440001
30,5100-5149,'noisy_dsprites','annealed_vae',,,,,,5.0,0-49,-8330.5059765625,4.997061233524001,8341.4175390625,8325.508828125,15.909050521853999,0.639338,0.637108,0.4110980000000001,0.40850000000000003,0.629946,0.3253632,,,0.07605756351600002,0.021541599999999998,0.813545396872,0.706862641374,0.693351177542
31,5150-5199,'noisy_dsprites','annealed_vae',,,,,,10.0,0-49,-8296.39455078125,9.996227569577998,8312.1923828125,8286.39806640625,25.793795938496,0.6253799999999999,0.62124,0.417816,0.41416000000000003,0.6429404000000001,0.3289752,,,0.049000327110000005,0.0123096,0.8230929787560001,0.7232882514460001,0.7092891435120002
32,5200-5249,'noisy_dsprites','annealed_vae',,,,,,25.0,0-49,-8290.64578125,24.999415092466002,8335.80107421875,8265.6460546875,70.154984750742,0.650216,0.646396,0.4421860000000001,0.4412440000000001,0.6511355999999999,0.34120960000000006,,,0.036699565388,0.0100224,0.84157808586,0.750508236384,0.7381021057480001
33,5250-5299,'noisy_dsprites','annealed_vae',,,,,,50.0,0-49,-8309.7079296875,49.993550567625995,8406.02306640625,8259.71439453125,146.307601776126,0.705246,0.702032,0.48357,0.48178400000000005,0.6720396000000001,0.343112,0.072166827678,0.08240384967600001,0.038314663802,0.009348000000000002,0.862529686034,0.7700669242399999,0.757113412116
34,5300-5349,'noisy_dsprites','annealed_vae',,,,,,75.0,0-49,-8331.5244140625,74.946399383548,8465.2405078125,8256.57837890625,208.66184066772598,0.72488,0.7226279999999999,0.516772,0.512896,0.6733924,0.3413488,0.08136588285600001,0.08977900910400001,0.03927891552400001,0.013176799999999999,0.8597505602720001,0.7721311560699999,0.7593371196360001
35,5350-5399,'noisy_dsprites','annealed_vae',,,,,,100.0,0-49,-8351.6718359375,100.05546905518803,8504.4282421875,8251.615859375,252.81232315063605,0.73931,0.7360639999999998,0.51376,0.5107160000000001,0.6739964,0.3408776,0.08422984599600002,0.09437648517399999,0.042164232536000004,0.011895200000000002,0.8630277282759999,0.7724534046079999,0.759520635534
