,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,5400,'scream_dsprites','beta_vae',1.0,,,,,,0,-7556.236328125,27.8258857727,7556.236328125,7528.408203125,27.8258857727,0.6272,0.6202000000000001,0.5019,0.49360000000000004,0.63758,0.23348000000000002,0.0413188991,0.0969922887,0.0252041915,0.014240000000000001,0.7909472167,0.701799434,0.6846437726
1,5401,'scream_dsprites','beta_vae',1.0,,,,,,1,-7550.2651367188,28.2378101349,7550.2651367188,7522.0249023438,28.2378101349,0.6968000000000001,0.6978000000000001,0.5954,0.602,0.64344,0.25344,0.0892612163,0.1653463853,0.08699939670000001,0.0386,0.7525941777,0.7054967046,0.6877423659
2,5402,'scream_dsprites','beta_vae',1.0,,,,,,2,-7553.6420898438,27.9638385773,7553.6420898438,7525.6767578125,27.9638385773,0.6123000000000001,0.6014,0.5141,0.5058,0.64144,0.20936000000000002,0.0299068158,0.0459781503,0.022666791000000002,0.005,0.8014635584,0.7061881779,0.6888673062
3,5403,'scream_dsprites','beta_vae',1.0,,,,,,3,-7552.640625,27.9471149445,7552.640625,7524.6889648438,27.9471149445,0.6398,0.6208,0.5617,0.5638000000000001,0.65288,0.23792000000000002,0.0705523633,0.10065338680000001,0.0923032285,0.014560000000000002,0.7465848001000001,0.7066252521,0.689231861
4,5404,'scream_dsprites','beta_vae',1.0,,,,,,4,-7552.6274414062,28.230091095,7552.6274414062,7524.3955078125,28.230091095,0.6349,0.6418,0.561,0.5598000000000001,0.6428200000000001,0.22024000000000002,0.047069788800000005,0.06563188610000001,0.0563280015,0.013040000000000001,0.7893347512000001,0.7045146512,0.6870003878000001
5,5405,'scream_dsprites','beta_vae',1.0,,,,,,5,-7552.3466796875,27.9363670349,7552.3466796875,7524.4116210938,27.9363670349,0.5131,0.494,0.3904,0.3902,0.6510600000000001,0.22728,0.0302095223,0.0703849456,0.0197454522,0.00608,0.7379197964,0.7041660272,0.6860841126
6,5406,'scream_dsprites','beta_vae',1.0,,,,,,6,-7550.943359375,28.2205619812,7550.943359375,7522.7182617188,28.2205619812,0.6311,0.6086,0.5538000000000001,0.547,0.64156,0.21644000000000002,0.0403169731,0.0577611477,0.0422572216,0.010280000000000001,0.7741433864,0.7075796048,0.6901126586
7,5407,'scream_dsprites','beta_vae',1.0,,,,,,7,-7558.0703125,27.8666267395,7558.0703125,7530.203125,27.8666267395,0.5976,0.5984,0.43270000000000003,0.4294,0.64066,0.21648,0.0281011195,0.0625923528,0.0245231128,0.021120000000000003,0.7819424844,0.7058282774,0.6885259406
8,5408,'scream_dsprites','beta_vae',1.0,,,,,,8,-7556.0952148438,28.1435527802,7556.0952148438,7527.9516601562,28.1435527802,0.5591,0.5538000000000001,0.40640000000000004,0.4158,0.65144,0.23168000000000002,0.0331216337,0.0790573489,0.0132069907,0.00468,0.7041862167,0.7075219035,0.6901892095000001
9,5409,'scream_dsprites','beta_vae',1.0,,,,,,9,-7550.9326171875,27.9748153687,7550.9326171875,7522.958984375,27.9748153687,0.6624,0.6384000000000001,0.5734,0.5674,0.6440800000000001,0.22616000000000003,0.0461770513,0.07649456980000001,0.0548585023,0.016640000000000002,0.7481811158,0.7091178323,0.6914103981
