,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,5400-5449,'scream_dsprites','beta_vae',1.0,,,,,,0-49,-7553.8002539062545,28.122541770941996,7553.8002539062545,7525.6775976562585,28.122541770941996,0.625326,0.6178520000000001,0.517066,0.5122080000000001,0.6429452000000001,0.22889760000000003,0.046889405482000004,0.08624536319799998,0.039625201522000005,0.0152552,0.7752001705139999,0.7059325930600001,0.6885076279100001
1,5450-5499,'scream_dsprites','beta_vae',2.0,,,,,,0-49,-7556.53271484375,23.652818336476,7580.185322265627,7532.880019531248,47.30563667297199,0.668206,0.661956,0.5514140000000001,0.549764,0.6562184000000001,0.2754128,0.08679866688,0.17829871537600003,0.08065066506600001,0.0276152,0.7180210733039999,0.70618571207,0.68886738434
2,5500-5549,'scream_dsprites','beta_vae',4.0,,,,,,0-49,-7567.02689453125,18.793982925416,7623.408447265622,7548.232246093746,75.17593170165999,0.751026,0.749584,0.638202,0.6401680000000001,0.6666748000000001,0.33773280000000006,0.165774787152,0.288439213592,0.15075947126,0.0461024,0.7403350454420001,0.715016581438,0.6982264045700001
3,5550-5599,'scream_dsprites','beta_vae',6.0,,,,,,0-49,-7581.163662109375,15.651532154092001,7659.421591796888,7565.512089843756,93.909186859124,0.7786680000000001,0.777892,0.6718160000000001,0.6747440000000001,0.6617328,0.3414984,0.19510320921600002,0.311451621954,0.17914440903200002,0.05218640000000001,0.7536938533940001,0.7205535700200001,0.7041421935380001
4,5600-5649,'scream_dsprites','beta_vae',8.0,,,,,,0-49,-7595.9857519531215,13.405091114041998,7689.8211816406265,7582.57923828125,107.240728912346,0.7940960000000001,0.7917839999999999,0.6869419999999999,0.6909400000000001,0.6550404000000001,0.3375424,0.21868282216000004,0.322081021654,0.19329147718999998,0.055204,0.761783437172,0.724677599074,0.7086962775860001
5,5650-5699,'scream_dsprites','beta_vae',16.0,,,,,,0-49,-7650.842607421868,8.598508892066,7779.820117187493,7642.2437109375,137.576142272954,0.7454400000000001,0.7369680000000001,0.6092500000000001,0.6140040000000001,0.6253671999999999,0.2842464,0.16676423801399998,0.24853683194399998,0.13953819203,0.04086,0.7712070992479998,0.707310169438,0.69189714754
6,5700-5749,'scream_dsprites','factor_vae',,10.0,,,,,0-49,,24.89062950135,7573.314160156244,7543.011113281248,30.303284912111998,0.690186,0.6830279999999999,0.5353460000000001,0.53644,0.6545904,0.29434800000000005,0.096232045894,0.21399471502200001,0.07211185492599999,0.029347200000000004,0.735718049656,0.7062474673520001,0.688933253052
7,5750-5799,'scream_dsprites','factor_vae',,20.0,,,,,0-49,,24.555461196901998,7576.737734374997,7547.115712890619,29.621016807553996,0.6989500000000001,0.6906840000000001,0.53482,0.536428,0.6570500000000001,0.3063488,0.109755968314,0.238641210276,0.08465318267800001,0.030071200000000006,0.7343497919,0.7056797149399999,0.688164928816
8,5800-5849,'scream_dsprites','factor_vae',,30.0,,,,,0-49,,24.552013969416002,7578.40759765625,7548.972373046872,29.433340568541997,0.691272,0.6833400000000001,0.531046,0.533128,0.6565980000000002,0.30562,0.107812744162,0.24108682101400003,0.079389730326,0.0319864,0.7312738649720001,0.7048785444940002,0.687434615798
9,5850-5899,'scream_dsprites','factor_vae',,40.0,,,,,0-49,,24.596002006532004,7580.5624316406265,7550.253066406247,30.309108200074,0.6966120000000001,0.6874600000000001,0.534858,0.536628,0.6544168,0.3015296,0.10384131870999999,0.234060827422,0.077804323916,0.03179920000000001,0.739238467528,0.702610491548,0.684904436012
