,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,7200,'smallnorb','beta_vae',1.0,,,,,,0,-1972.0570068359,11.6657428741,1972.0570068359,1960.3924560547,11.6657428741,0.8243,0.8184,0.6106,0.6166,0.7963,0.6777500000000001,0.3300386408,0.39749910110000003,0.2500422227,0.1134,0.7801482341,0.7948452543000001,0.7935758467
1,7201,'smallnorb','beta_vae',1.0,,,,,,1,-1969.3532714844,11.7935886383,1969.3532714844,1957.5607910156,11.7935886383,0.8456,0.85,0.5935,0.6052000000000001,0.8035,0.68645,0.3320033969,0.39589010290000004,0.2352615734,0.09975,0.8535131414,0.7971826221,0.796620953
2,7202,'smallnorb','beta_vae',1.0,,,,,,2,-1969.9997558594,11.4444723129,1969.9997558594,1958.5523681641,11.4444723129,0.8702000000000001,0.8688,0.6088,0.6114,0.80115,0.6837000000000001,0.33340819580000003,0.3876758182,0.2407408546,0.10695,0.8222236223,0.8038677608,0.8031054150000001
3,7203,'smallnorb','beta_vae',1.0,,,,,,3,-1973.1354980469,11.956284523,1973.1354980469,1961.1813964844,11.956284523,0.8622000000000001,0.8634000000000001,0.5927,0.608,0.8054,0.6856500000000001,0.32595424500000003,0.3753585842,0.24923012500000002,0.12645,0.7810529873000001,0.7989754619,0.7970574714
4,7204,'smallnorb','beta_vae',1.0,,,,,,4,-1967.2351074219,11.8127298355,1967.2351074219,1955.4212646484,11.8127298355,0.863,0.8656,0.5543,0.5638000000000001,0.7976500000000001,0.6807000000000001,0.3270426776,0.3839183767,0.2586590334,0.12090000000000001,0.8215214069000001,0.7948746153,0.7931202347
5,7205,'smallnorb','beta_vae',1.0,,,,,,5,-1970.25,11.6942672729,1970.25,1958.5560302734,11.6942672729,0.7868,0.7892,0.6322,0.6274000000000001,0.798325,0.6783,0.323542983,0.3863601278,0.2506075031,0.1063,0.7294694877,0.7957942141000001,0.7945179141000001
6,7206,'smallnorb','beta_vae',1.0,,,,,,6,-1971.0439453125,11.7504425049,1971.0439453125,1959.2940673828,11.7504425049,0.8548,0.8528,0.5836,0.5942000000000001,0.8037500000000001,0.68105,0.32652676070000003,0.3920205398,0.2504203597,0.11610000000000001,0.7965555486,0.7931005154,0.7911340906000001
7,7207,'smallnorb','beta_vae',1.0,,,,,,7,-1969.1606445312,11.6433506012,1969.1606445312,1957.5179443359,11.6433506012,0.8329000000000001,0.8298000000000001,0.5677,0.5740000000000001,0.801975,0.6806500000000001,0.3224511988,0.3790516124,0.2510960453,0.105,0.8258219764,0.7950880527,0.7924881107
8,7208,'smallnorb','beta_vae',1.0,,,,,,8,-1970.8446044922,11.6820878983,1970.8446044922,1959.1606445312,11.6820878983,0.8331000000000001,0.8398,0.5745,0.5856,0.794975,0.67325,0.3271640912,0.3837762946,0.25124255230000003,0.10885,0.8110436106000001,0.7944420856000001,0.7950912762
9,7209,'smallnorb','beta_vae',1.0,,,,,,9,-1970.5520019531,11.6994848251,1970.5520019531,1958.853515625,11.6994848251,0.779,0.7768,0.6388,0.6312,0.791,0.6768000000000001,0.3182595117,0.37845953260000004,0.2364517023,0.099,0.8304106681000001,0.802926938,0.8021305406
10,7210,'smallnorb','beta_vae',1.0,,,,,,10,-1971.3157958984,12.2074794769,1971.3157958984,1959.1104736328,12.2074794769,0.8509,0.8396,0.6464000000000001,0.649,0.8041,0.6863,0.3215998657,0.38369443950000004,0.2637725108,0.12615,0.810498308,0.7933312519,0.7923741966000001
11,7211,'smallnorb','beta_vae',1.0,,,,,,11,-1966.8356933594,11.916322708100001,1966.8356933594,1954.9205322266,11.916322708100001,0.8651000000000001,0.8658,0.5895,0.5966,0.79305,0.6705,0.32424090170000003,0.3841271197,0.22625416410000002,0.10485000000000001,0.8327644304,0.7950338431,0.7951653517
12,7212,'smallnorb','beta_vae',1.0,,,,,,12,-1972.6396484375,11.8488235474,1972.6396484375,1960.7897949219,11.8488235474,0.8444,0.8346,0.6261,0.6274000000000001,0.799125,0.67815,0.3194442695,0.37325251540000004,0.2672245204,0.0995,0.8521314980000001,0.8009380879,0.8011555673
