,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
0,7200-7249,'smallnorb','beta_vae',1.0,,,,,,0-49,-1970.6282739257883,11.775333480832,1970.6282739257883,1958.8530786132783,11.775333480832,0.841978,0.8408199999999999,0.596926,0.6013600000000001,0.799672,0.6793780000000001,0.326214227874,0.385520143298,0.250071163598,0.11444000000000003,0.8169061365720001,0.796777768886,0.795893961018
1,7250-7299,'smallnorb','beta_vae',2.0,,,,,,0-49,-1972.4127392578143,8.537144184112,1980.9499267578162,1963.8756518554662,17.074288368218003,0.836554,0.8369599999999999,0.557762,0.5602040000000001,0.7850884999999999,0.665073,0.324333682134,0.392899074864,0.232631870996,0.098855,0.8861213430920002,0.796265162832,0.7947007124459999
2,7300-7349,'smallnorb','beta_vae',4.0,,,,,,0-49,-1979.770490722662,5.535832605368,1996.3779125976505,1974.23469482422,22.14333042145,0.762514,0.7647479999999999,0.5306000000000001,0.5314999999999999,0.7521625000000001,0.622355,0.29301763436,0.36006963648400003,0.22499136181600005,0.09670600000000001,0.902407417164,0.7797730042119998,0.7785118689060002
3,7350-7399,'smallnorb','beta_vae',6.0,,,,,,0-49,-1986.612006835936,4.043209753034,2006.827954101558,1982.568872070312,24.259259376532,0.7187260000000001,0.722204,0.470064,0.46621200000000007,0.7137460000000001,0.571658,0.27085238363200004,0.333117984358,0.20257016914200002,0.100503,0.896340038382,0.7647168212400001,0.7632168751280001
4,7400-7449,'smallnorb','beta_vae',8.0,,,,,,0-49,-1991.310390624992,3.3107417583539998,2014.4856372070385,1987.9996630859418,26.485934066772003,0.7036260000000002,0.70672,0.417938,0.419256,0.701989,0.5554340000000001,0.24976042685400002,0.305837992584,0.19461641893,0.09646700000000001,0.8969315621000001,0.7656746488000001,0.7645828138740001
5,7450-7499,'smallnorb','beta_vae',16.0,,,,,,0-49,-2003.610688476564,2.152830619814,2035.903300781248,2001.4577392578142,34.44528991699401,0.602372,0.5995240000000001,0.454056,0.46592400000000006,0.6918545,0.546469,0.201635781722,0.261487880186,0.17735503175,0.09537300000000001,0.923437260494,0.7503298268540002,0.7485588490959999
6,7500-7549,'smallnorb','factor_vae',,10.0,,,,,0-49,,10.05269435882,1976.598322753906,1965.630815429688,10.96731008529,0.73954,0.7491560000000002,0.5897979999999999,0.5965,0.7795410000000002,0.6588890000000001,0.33087763877599996,0.41250095191600006,0.23795459388200005,0.099122,0.8272745782220002,0.7760706025399999,0.7752637233659999
7,7550-7599,'smallnorb','factor_vae',,20.0,,,,,0-49,,9.942667636866002,1977.5501220703081,1966.950192871096,10.599807281494,0.7053360000000002,0.7125199999999999,0.586346,0.59376,0.7702275000000002,0.6475160000000001,0.333662674682,0.418000467758,0.23044109944800004,0.10168600000000001,0.843149772344,0.769655482988,0.768916618962
8,7600-7649,'smallnorb','factor_vae',,30.0,,,,,0-49,,10.03662492752,1978.4969750976502,1967.418828125004,11.078172435767996,0.7200659999999999,0.7244600000000001,0.5924640000000001,0.5967560000000001,0.7671765,0.642433,0.3290428654940001,0.41215681902,0.224337075488,0.096609,0.8380311609519999,0.7710808076180001,0.77016303223
9,7650-7699,'smallnorb','factor_vae',,40.0,,,,,0-49,,10.184680004116,1978.4324169921863,1967.8913964843723,10.540862321854002,0.7417539999999999,0.74324,0.594708,0.5977,0.7650465,0.640728,0.32694970240800003,0.412834920446,0.22918587843400004,0.09264399999999999,0.8516719824060001,0.7725992290179999,0.771577647876
10,7700-7749,'smallnorb','factor_vae',,50.0,,,,,0-49,,10.157523593899999,1978.8075683593781,1968.473696289062,10.333901567452001,0.7549379999999999,0.7551640000000001,0.6095240000000001,0.6141160000000001,0.763686,0.6387050000000001,0.324111099192,0.41234678256600005,0.232555096322,0.094793,0.826359480666,0.7728346651640001,0.772074305218
11,7750-7799,'smallnorb','factor_vae',,100.0,,,,,0-49,,10.852408351900001,1980.402453613276,1969.17942138672,11.223109865192,0.8098139999999999,0.8075120000000001,0.623868,0.6248760000000001,0.7602625,0.634881,0.3214897096,0.40874674007,0.238526958834,0.083098,0.825324794628,0.7747657826660002,0.7734669205139998
12,7800-7849,'smallnorb','dip_vae_i',,,10.0,1.0,,,0-49,-1972.1563183593844,13.206419639585999,1975.127192382806,1958.9497656250062,16.177419605252002,0.8414139999999999,0.8417880000000001,0.671824,0.6756720000000002,0.8006255000000002,0.671177,0.30017373983,0.31113841599000003,0.24348185685400003,0.102479,0.7689736546940001,0.8137998177119999,0.812729298032
13,7850-7899,'smallnorb','dip_vae_i',,,10.0,2.0,,,0-49,-1972.8732861328056,13.400795383452,1978.1519848632822,1959.47239990234,18.679363365172,0.842552,0.8414280000000001,0.6921080000000002,0.6979440000000001,0.793145,0.6584710000000001,0.267177022054,0.267282790508,0.216573107856,0.08784200000000002,0.7860755882299999,0.8137607423079999,0.8128468373959999
14,7900-7949,'smallnorb','dip_vae_i',,,10.0,5.0,,,0-49,-1974.3111303710916,13.730107765204,1985.8259472656218,1960.5812280273437,25.244659652707995,0.837412,0.8387,0.6913800000000001,0.696164,0.779559,0.642037,0.24289651771800003,0.22146065837200002,0.15462556903,0.06823400000000002,0.80376330016,0.811679158302,0.810434762236
15,7950-7999,'smallnorb','dip_vae_i',,,10.0,10.0,,,0-49,-1975.80200439453,13.960766887670001,1996.9454174804662,1961.8413818359343,35.104159698484,0.828742,0.832968,0.681664,0.684504,0.7676299999999999,0.6263460000000001,0.215761226394,0.18788708635400003,0.12212507823600001,0.055569,0.8200924922920001,0.806213365014,0.8048951395219999
16,8000-8049,'smallnorb','dip_vae_i',,,10.0,20.0,,,0-49,-1978.028186035158,14.21184589386,2017.492187499996,1963.816125488284,53.675685424802005,0.823678,0.8274640000000001,0.677258,0.6798320000000001,0.74861,0.6013440000000001,0.189395380058,0.16006269663,0.10860679904200002,0.046712000000000004,0.8183610100800002,0.7986368610540001,0.796798232554
17,8050-8099,'smallnorb','dip_vae_i',,,10.0,50.0,,,0-49,-1981.8277148437421,14.663863868716,2074.23215820312,1967.163815917966,107.06843246460001,0.8056840000000001,0.80884,0.657042,0.659324,0.7204765000000001,0.565926,0.144744311344,0.11614233993399999,0.071009182708,0.027794000000000003,0.819907472536,0.7863444798939999,0.7841118001080001
18,8100-8149,'smallnorb','dip_vae_ii',,,1.0,1.0,,,0-49,-1970.6759643554665,11.381744098657999,1971.1985351562557,1959.294284667974,11.90451278687,0.8506199999999999,0.8498519999999999,0.5797100000000001,0.58096,0.7941264999999998,0.672462,0.32311180926399996,0.38835011011400006,0.243713870512,0.11275200000000002,0.842374292694,0.7961635533859999,0.7947365245660002
19,8150-8199,'smallnorb','dip_vae_ii',,,1.0,2.0,,,0-49,-1970.758593749996,11.106893482204,1971.6380566406299,1959.6519848632822,11.986312084201998,0.851696,0.8519039999999998,0.570628,0.5719879999999999,0.790459,0.667788,0.32282310966600003,0.391155547162,0.24378050511,0.11421799999999999,0.8695725901780001,0.796574420396,0.795200593772
20,8200-8249,'smallnorb','dip_vae_ii',,,1.0,5.0,,,0-49,-1971.384860839842,10.635309352874001,1972.8847607421922,1960.7496166992223,12.135045871734,0.8531500000000001,0.8508600000000002,0.581628,0.584012,0.7791055,0.653532,0.297445502706,0.37175230993599995,0.25540268744399997,0.12926700000000002,0.852835396342,0.793250989578,0.791333881738
21,8250-8299,'smallnorb','dip_vae_ii',,,1.0,10.0,,,0-49,-1972.945224609376,9.888378391267999,1974.6697412109338,1963.0569262695237,11.613018836976,0.8182339999999999,0.8168080000000002,0.5325880000000001,0.535284,0.7665865,0.638362,0.28861886233,0.38601000366599997,0.24932063720800005,0.12382299999999999,0.84231352197,0.777024826106,0.775606336962
22,8300-8349,'smallnorb','dip_vae_ii',,,1.0,20.0,,,0-49,-1976.256301269532,8.507211065289999,1978.2288134765683,1967.748911132816,10.479936752324,0.7952620000000001,0.7979680000000002,0.503784,0.5046439999999999,0.7382655000000001,0.6017610000000001,0.280690037008,0.3854327759500001,0.22659204520000004,0.12801,0.8455151762540001,0.758620939942,0.75662938118
23,8350-8399,'smallnorb','dip_vae_ii',,,1.0,50.0,,,0-49,-1979.288754882816,7.616848297114,1981.9044360351577,1971.6719042968782,10.232459888464,0.7684780000000001,0.7700879999999999,0.452808,0.451104,0.7073345000000001,0.563094,0.27228519504000004,0.39903799028599996,0.21251886637399997,0.14395100000000002,0.8819328488920002,0.7329604434600001,0.7305815248940002
24,8400-8449,'smallnorb','beta_tc_vae',,,,,1.0,,0-49,-1970.636516113278,11.789906539918002,1970.636516113278,1958.846357421874,11.789906539918002,0.8457459999999999,0.8453480000000002,0.597556,0.6031920000000001,0.7999120000000001,0.6795299999999999,0.327087313554,0.3872023836780001,0.25368542264800004,0.116726,0.8169682824960001,0.7960384875240001,0.795010859814
25,8450-8499,'smallnorb','beta_tc_vae',,,,,2.0,,0-49,-1972.1175561523464,8.927606697082,1938.925288085938,1963.1903540039098,-24.264920883177997,0.8205199999999999,0.8218759999999999,0.574246,0.575124,0.7983075,0.685142,0.3519507002899999,0.44614299624800013,0.236818709844,0.09557700000000001,0.8778711398460001,0.7886617893200001,0.786780637924
